Observed Number,Upper Bound Threshold,Day of Week-ending Date,Average Expected Number of Deaths,Flag,Note,Observed Number,Percent Excess Over Expected,Percent Excess Over Upper Bound,State,Total Number of Excess Deaths Over Upper Bound,Upper Bound Threshold
"56,493",,"July 25, 2020","51,912",+,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",,8.8,4.8,United States,"156,354","53,910"
"60,510",,"July 18, 2020","52,076",+,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",,16.2,12.2,United States,"156,354","53,922"
"59,803",,"July 11, 2020","52,204",+,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",,14.6,10.5,United States,"156,354","54,131"
"57,792",,"July 4, 2020","52,330",+,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",,10.4,6.5,United States,"156,354","54,255"
"57,304",,"June 27, 2020","52,513",+,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",,9.1,5.3,United States,"156,354","54,411"
"58,387",,"June 20, 2020","52,669",+,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",,10.9,6.9,United States,"156,354","54,640"
"58,552",,"June 13, 2020","52,710",+,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",,11.1,7.3,United States,"156,354","54,545"
"59,414",,"June 6, 2020","52,889",+,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",,12.3,8.5,United States,"156,354","54,754"
"60,218",,"May 30, 2020","53,053",+,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",,13.5,9.6,United States,"156,354","54,954"
"62,119",,"May 23, 2020","53,254",+,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",,16.6,12.7,United States,"156,354","55,131"
"65,047",,"May 16, 2020","53,564",+,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction.  ",,21.4,17.2,United States,"156,354","55,516"
