Jurisdiction,Week Ending Date,State Abbreviation,Year,Week,Age Group,Number of Deaths,Time Period,Type,Suppress,
United States,1/10/15,US,2015,1,25-44 years,2412,2015-2019,Predicted (weighted),,
United States,1/10/15,US,2015,1,45-64 years,11363,2015-2019,Predicted (weighted),,
United States,1/10/15,US,2015,1,65-74 years,10711,2015-2019,Predicted (weighted),,
United States,1/10/15,US,2015,1,75-84 years,14795,2015-2019,Predicted (weighted),,
United States,1/10/15,US,2015,1,85 years and older,21412,2015-2019,Predicted (weighted),,
United States,1/10/15,US,2015,1,Under 25 years,1179,2015-2019,Predicted (weighted),,
United States,1/17/15,US,2015,2,25-44 years,2376,2015-2019,Predicted (weighted),,
United States,1/17/15,US,2015,2,45-64 years,11248,2015-2019,Predicted (weighted),,
United States,1/17/15,US,2015,2,65-74 years,10552,2015-2019,Predicted (weighted),,
United States,1/17/15,US,2015,2,75-84 years,14595,2015-2019,Predicted (weighted),,
United States,1/17/15,US,2015,2,85 years and older,21276,2015-2019,Predicted (weighted),,
United States,1/17/15,US,2015,2,Under 25 years,1214,2015-2019,Predicted (weighted),,
United States,1/24/15,US,2015,3,25-44 years,2327,2015-2019,Predicted (weighted),,
United States,1/24/15,US,2015,3,45-64 years,10758,2015-2019,Predicted (weighted),,
United States,1/24/15,US,2015,3,65-74 years,10070,2015-2019,Predicted (weighted),,
United States,1/24/15,US,2015,3,75-84 years,14204,2015-2019,Predicted (weighted),,
United States,1/24/15,US,2015,3,85 years and older,20178,2015-2019,Predicted (weighted),,
United States,1/24/15,US,2015,3,Under 25 years,1201,2015-2019,Predicted (weighted),,
United States,1/31/15,US,2015,4,25-44 years,2208,2015-2019,Predicted (weighted),,
United States,1/31/15,US,2015,4,45-64 years,10580,2015-2019,Predicted (weighted),,
United States,1/31/15,US,2015,4,65-74 years,10112,2015-2019,Predicted (weighted),,
United States,1/31/15,US,2015,4,75-84 years,13754,2015-2019,Predicted (weighted),,
United States,1/31/15,US,2015,4,85 years and older,19538,2015-2019,Predicted (weighted),,
United States,1/31/15,US,2015,4,Under 25 years,1188,2015-2019,Predicted (weighted),,
United States,2/7/15,US,2015,5,25-44 years,2436,2015-2019,Predicted (weighted),,
United States,2/7/15,US,2015,5,45-64 years,10877,2015-2019,Predicted (weighted),,
United States,2/7/15,US,2015,5,65-74 years,10080,2015-2019,Predicted (weighted),,
United States,2/7/15,US,2015,5,75-84 years,13718,2015-2019,Predicted (weighted),,
United States,2/7/15,US,2015,5,85 years and older,19183,2015-2019,Predicted (weighted),,
United States,2/7/15,US,2015,5,Under 25 years,1118,2015-2019,Predicted (weighted),,
United States,2/14/15,US,2015,6,25-44 years,2379,2015-2019,Predicted (weighted),,
United States,2/14/15,US,2015,6,45-64 years,10459,2015-2019,Predicted (weighted),,
United States,2/14/15,US,2015,6,65-74 years,10343,2015-2019,Predicted (weighted),,
United States,2/14/15,US,2015,6,75-84 years,13569,2015-2019,Predicted (weighted),,
United States,2/14/15,US,2015,6,85 years and older,18574,2015-2019,Predicted (weighted),,
United States,2/14/15,US,2015,6,Under 25 years,1192,2015-2019,Predicted (weighted),,
United States,2/21/15,US,2015,7,25-44 years,2269,2015-2019,Predicted (weighted),,
United States,2/21/15,US,2015,7,45-64 years,10764,2015-2019,Predicted (weighted),,
United States,2/21/15,US,2015,7,65-74 years,9980,2015-2019,Predicted (weighted),,
United States,2/21/15,US,2015,7,75-84 years,13651,2015-2019,Predicted (weighted),,
United States,2/21/15,US,2015,7,85 years and older,18600,2015-2019,Predicted (weighted),,
United States,2/21/15,US,2015,7,Under 25 years,1198,2015-2019,Predicted (weighted),,
United States,2/28/15,US,2015,8,25-44 years,2248,2015-2019,Predicted (weighted),,
United States,2/28/15,US,2015,8,45-64 years,10480,2015-2019,Predicted (weighted),,
